"runName","chain","repId","rootConfig","count","nTrees"
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C3,C4,D1,D2,D3,D4",7,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",13,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",1,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",8,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",30,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,C1,C2,C3,C4",32,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",17,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",6,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,168
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4",7,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",5,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3",26,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",9,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",21,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D2,D3,D4",33,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D3,D4",29,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D4",6,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",9,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,C1,C2,C3,C4",22,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",11,183
"v4cross-b-pt5-rep04-blind","blind",4,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",5,183
"v4cross-b-pt5-rep04-aware","aware",4,"A1",26,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2",3,171
