"char","type","pZ0_eco1","pZ1_eco1","pZ2_eco1","pAff_eco1","pZ0_eco2","pZ1_eco2","pZ2_eco2","pAff_eco2","pZ0_eco3","pZ1_eco3","pZ2_eco3","pAff_eco3"
51,"transformational",0.636209813874788,0.0219966159052453,0.341793570219966,0.363790186125212,0.419627749576988,0.343485617597293,0.236886632825719,0.580372250423012,0.500846023688663,0.106598984771574,0.392554991539763,0.499153976311337
52,"neomorphic",0.426395939086294,0.181049069373942,0.392554991539763,0.573604060913706,0.453468697123519,0.323181049069374,0.223350253807107,0.546531302876481,0.539763113367174,0.274111675126904,0.186125211505922,0.460236886632826
53,"neomorphic",0.395939086294416,0.0219966159052453,0.582064297800338,0.604060913705584,0.431472081218274,0.292724196277496,0.27580372250423,0.568527918781726,0.467005076142132,0.147208121827411,0.385786802030457,0.532994923857868
54,"neomorphic",0.580372250423012,0.181049069373942,0.238578680203046,0.419627749576988,0.458544839255499,0.289340101522843,0.252115059221658,0.541455160744501,0.475465313028765,0.236886632825719,0.287648054145516,0.524534686971235
55,"neomorphic",0.612521150592217,0.199661590524535,0.187817258883249,0.387478849407783,0.423011844331641,0.316412859560068,0.260575296108291,0.576988155668359,0.524534686971235,0.231810490693739,0.243654822335025,0.475465313028765
56,"neomorphic",0.590524534686971,0.104906937394247,0.304568527918782,0.409475465313029,0.463620981387479,0.333333333333333,0.203045685279188,0.536379018612521,0.472081218274112,0.267343485617597,0.260575296108291,0.527918781725888
57,"neomorphic",0.519458544839255,0.0626057529610829,0.417935702199662,0.480541455160745,0.472081218274112,0.255499153976311,0.272419627749577,0.527918781725888,0.451776649746193,0.160744500846024,0.387478849407783,0.548223350253807
58,"neomorphic",0.512690355329949,0.17258883248731,0.314720812182741,0.487309644670051,0.451776649746193,0.306260575296108,0.241962774957699,0.548223350253807,0.554991539763113,0.218274111675127,0.22673434856176,0.445008460236887
59,"neomorphic",0.431472081218274,0.532994923857868,0.0355329949238579,0.568527918781726,0.465313028764805,0.323181049069374,0.211505922165821,0.534686971235195,0.546531302876481,0.291032148900169,0.16243654822335,0.453468697123519
60,"transformational",0.370558375634518,0.0626057529610829,0.566835871404399,0.629441624365482,0.412859560067682,0.28087986463621,0.306260575296108,0.587140439932318,0.446700507614213,0.170896785109983,0.382402707275804,0.553299492385787
