"runName","design","paramSet","chain","repId","metric","value_corrected","value_legacy","fracRootInside","nTrees","rdsPath"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueClade_B",1,0.988095238095238,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueClade_C",1,0.785714285714286,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueClade_D",1,0.869047619047619,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueSister_AC",1,0.529761904761905,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueSister_BD",1,0.589285714285714,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"CID",0.00324846193839888,0.00324846193839888,NA,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"falseClade_AB",0,0,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"falseInner",0,0,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueClade_A",1,0.779761904761905,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueClade_B",1,1,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueClade_C",1,0.81547619047619,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueClade_D",1,1,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueSister_AC",1,0.30952380952381,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep03-aware","v4cross","v4b","aware",3,"trueSister_BD",1,0.880952380952381,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/aware-rep03-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"CID",0.0221995468222463,0.0221995468222463,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"falseClade_AB",0,0,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"falseInner",0,0,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueClade_A",1,0.972677595628415,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueClade_B",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueClade_C",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueClade_D",1,0.322404371584699,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueSister_AC",1,0.885245901639344,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-blind","v4cross","v4b","blind",4,"trueSister_BD",1,0.234972677595628,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/blind-rep04-result.rds"
"v4cross-b-pt5-rep04-aware","v4cross","v4b","aware",4,"CID",0.018358826543826,0.018358826543826,NA,171,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep04/aware-rep04-result.rds"
