"metric","value_corrected","value_legacy","nTrees","rep","chain","nTreesTotal","nUnique","topShare","tlMean","tlMed","tlMin","tlMax","truthTL"
"trueClade_D",0.0598802395209581,0.0598802395209581,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"CID",0.520734797827448,0.520734797827448,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"trueSister_AC",0,0,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueSister_BD",0,0,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"falseSister_AB",0.982758620689655,0.982758620689655,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"falseSister_CD",0.982758620689655,0,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueClade_A",0.413793103448276,0.413793103448276,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueClade_B",1,1,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueClade_C",0.0574712643678161,0.0574712643678161,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueClade_D",0.32183908045977,0.218390804597701,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"CID",0.399159689325789,0.399159689325789,174,7,"aware",233,99,0.028735632183908,2.86947903667696,2.81438528910895,1.98464099425261,4.18841295943564,13.5
"trueSister_AC",0.0119760479041916,0.0119760479041916,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueSister_BD",0.0119760479041916,0,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"falseSister_AB",0.772455089820359,0.772455089820359,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"falseSister_CD",0.772455089820359,0.0658682634730539,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueClade_A",0.70059880239521,0.70059880239521,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueClade_B",0.245508982035928,0.245508982035928,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueClade_C",0.0838323353293413,0.0658682634730539,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueClade_D",0.101796407185629,0.0718562874251497,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"CID",0.471546323756825,0.471546323756825,167,8,"blind",223,153,0.0119760479041916,154.804690756752,155.370766666768,106.038522444638,190.242220783561,13.5
"trueSister_AC",0.0280898876404494,0,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"trueSister_BD",0.0280898876404494,0.0280898876404494,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"falseSister_AB",0.252808988764045,0.247191011235955,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"falseSister_CD",0.252808988764045,0.0449438202247191,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"trueClade_A",0.932584269662921,0.876404494382023,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"trueClade_B",0.898876404494382,0.898876404494382,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"trueClade_C",0.0280898876404494,0.0112359550561798,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"trueClade_D",0.0280898876404494,0.0224719101123595,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
"CID",0.417061787769353,0.417061787769353,178,8,"aware",238,167,0.0168539325842697,3.23100221356412,3.17116858495044,2.16841229361207,5.29738942800576,13.5
